"Month","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
1,"Canada",2026,42802410,10402743,11509435,108279229,2509322,2689223,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
1,"Cape Verde",2023,16900,0,0,21924,0,0,FALSE,NA,"Enhanced",TRUE
1,"Cayman Islands",2022,2282,0,0,400,0,0,FALSE,NA,NA,FALSE
1,"Cayman Islands",2025,49000,49000,49000,28000,28000,28000,FALSE,NA,NA,FALSE
1,"Chad",2023,228320,0,0,220000,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Chad",2025,282386,0,0,206000,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Chile",2022,52300049,48030376,51093116,20628562,19259662,20162612,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
1,"Chile",2023,46288759,41718680,45887170,17737184,16436913,17606442,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
1,"Chile",2024,47072276,42333980,45859576,19978603,17885398,19588965,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
1,"Chile",2025,45056850,39540817,44497390,18900580,17042006,18705261,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
1,"Chile",2026,54485081,47548421,50788467,22065096,19045006,19989077,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
1,"China",2022,120052275,0,0,41523387,0,0,FALSE,NA,NA,FALSE
1,"China",2023,168457284,0,0,40312249,0,0,FALSE,NA,NA,FALSE
1,"China",2024,171191768,0,0,56671940,0,0,FALSE,NA,NA,FALSE
1,"China",2025,188956783,0,0,79714883,0,0,FALSE,NA,NA,FALSE
1,"China",2026,194158627,0,0,69394854,0,0,FALSE,NA,NA,FALSE
1,"Colombia",2022,26501014,18650654,20222846,24785105,22394104,23051506,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Colombia",2023,32132580,23681083,25140435,26761992,24957962,25201035,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Colombia",2024,31701486,25523362,27273498,26568547,24929738,25380783,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Colombia",2025,40152441,27041132,27707403,30583130,27813825,27977335,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Colombia",2026,36764051,22347967,22999152,23051328,20680753,20850650,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Comoros",2022,72968,72968,72968,11000,11000,11000,FALSE,NA,"Comprehensive",TRUE
1,"Comoros",2023,3592,0,3592,300,0,300,FALSE,NA,"Comprehensive",TRUE
1,"Comoros",2024,2836,0,2836,250,0,250,FALSE,NA,"Comprehensive",TRUE
1,"Congo - Brazzaville",2023,1392,0,0,103,0,0,FALSE,NA,"Enhanced",TRUE
