"Year","country_name","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
2024,"Nepal",1339216,1175763,1176945,998334,915704,916210,FALSE,NA,"Comprehensive",TRUE
2024,"New Caledonia",83819,0,0,4498,0,0,FALSE,NA,NA,FALSE
2024,"New Zealand",636920994,345060272,395007605,188425591,109890909,117901380,TRUE,"UK-New Zealand Free Trade Agreement; CPTPP",NA,FALSE
2024,"Nicaragua",78570432,33958037,34417420,110124095,46917900,46976026,TRUE,"UK-Central America Association Agreement",NA,FALSE
2024,"Niger",365769,10643,364784,224976,8250,224864,FALSE,NA,"Comprehensive",TRUE
2024,"Nigeria",28139858,12282445,14479531,39237410,20662196,21721147,FALSE,NA,"Enhanced",TRUE
2024,"North Macedonia",11141478,9332769,9895964,3917408,3528804,3730738,TRUE,"UK-North Macedonia Partnership, Trade and Cooperation Agreement",NA,FALSE
2024,"Norway",788410832,195444281,203788292,169085590,46005886,48085428,TRUE,"UK-Iceland-Liechtenstein-Norway FTA",NA,FALSE
2024,"Oman",2577215,0,0,1790305,0,0,FALSE,NA,NA,FALSE
2024,"Pakistan",238270564,60017016,62354711,250308026,52357472,54184476,FALSE,NA,"Enhanced",TRUE
2024,"Palestine",8745885,8708162,8722445,1635158,1617505,1622088,TRUE,"UK-Palestinian Authority Political, Trade and Partnership Agreement",NA,FALSE
2024,"Panama",25315103,21934163,23097663,41139030,39417410,40903025,TRUE,"UK-Central America Association Agreement",NA,FALSE
2024,"Papua New Guinea",161399448,147308882,158717272,195518877,180696942,193224429,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
2024,"Paraguay",116913316,0,0,305022631,0,0,FALSE,NA,NA,FALSE
2024,"Peru",490723555,371309179,407997625,175098923,139683966,151894803,TRUE,"UK-Andean Countries Trade Agreement; CPTPP",NA,FALSE
2024,"Philippines",115090266,89572176,95831669,64920958,53163018,56935012,FALSE,NA,"Enhanced",TRUE
2024,"Qatar",305976,0,0,15052,0,0,FALSE,NA,NA,FALSE
2024,"Russia",39832730,0,0,9630092,0,0,FALSE,NA,NA,FALSE
2024,"Rwanda",27471992,6806711,6826813,8921118,2217880,2221453,FALSE,NA,"Comprehensive",TRUE
2024,"Samoa",2792,1459,2792,790,417,790,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
2024,"San Marino",353689,252465,350920,20490,18758,20244,FALSE,NA,NA,FALSE
2024,"Saudi Arabia",9915207,0,0,8406704,0,0,FALSE,NA,NA,FALSE
2024,"Senegal",42455412,38486453,41514247,34948339,32908359,34011528,FALSE,NA,"Comprehensive",TRUE
2024,"Serbia",89006382,63406615,73202509,84285918,33859462,36524972,TRUE,"UK-Serbia Partnership, Trade and Cooperation Agreement",NA,FALSE
2024,"Seychelles",52176507,51847123,52000633,10681471,10600967,10637306,TRUE,"ESA-UK Economic Partnership Agreement",NA,FALSE
2024,"Sierra Leone",1220139,529007,611567,1057418,791813,839361,FALSE,NA,"Comprehensive",TRUE
2024,"Singapore",41080709,24624703,34185393,15050146,9947827,13887798,TRUE,"UK-Singapore Free Trade Agreement; UK-Singapore Digital Economy Agreement; CPTPP",NA,FALSE
2024,"Sint Maarten",318915,0,0,73612,0,0,FALSE,NA,NA,FALSE
2024,"Solomon Islands",1762106,1738382,1740380,2084149,2081939,2082044,TRUE,"UK-Pacific Economic Partnership Agreement","Comprehensive",TRUE
2024,"Somalia",225603,32180,37426,110451,50569,65423,FALSE,NA,"Comprehensive",TRUE
2024,"South Africa",931192109,716952659,779906368,667305966,496477237,543525867,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
2024,"South Korea",133065470,99104836,118993918,32032403,23892883,29501639,TRUE,"UK-South Korea Trade Agreement (updated Dec 2025)",NA,FALSE
2024,"South Sudan",17581,0,17581,560,0,560,FALSE,NA,"Comprehensive",TRUE
2024,"Sri Lanka",79042284,48495523,51198871,35967176,21504329,22758154,FALSE,NA,"Enhanced",TRUE
2024,"St. Barthélemy",840614,0,0,207736,0,0,FALSE,NA,NA,FALSE
2024,"St. Helena",193468,40500,63609,5264,1652,2582,FALSE,NA,NA,FALSE
2024,"St. Kitts & Nevis",30582,0,0,1510,0,0,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"St. Lucia",1312274,579840,579840,424601,295908,295908,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"St. Vincent & Grenadines",453487,446462,446462,248769,248339,248339,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Sudan",11147642,33689,244491,5378907,26805,95487,FALSE,NA,"Comprehensive",TRUE
2024,"Suriname",1244682,1188516,1194693,1594237,1583095,1585015,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Switzerland",516220886,470181767,490890225,113935944,102935032,104724193,TRUE,"UK-Switzerland Trade Agreement",NA,FALSE
2024,"Syria",2226115,1191345,1288227,780385,601936,617519,FALSE,NA,"Enhanced",TRUE
2024,"Taiwan",43975422,0,0,14686266,0,0,FALSE,NA,NA,FALSE
2024,"Tajikistan",103997,94266,103997,3721,3188,3721,FALSE,NA,"Enhanced",TRUE
2024,"Tanzania",14534939,4457288,5386611,7774603,1643578,1735109,FALSE,NA,"Comprehensive",TRUE
2024,"Thailand",1039307875,0,0,387909465,0,0,FALSE,NA,NA,FALSE
2024,"Timor-Leste",213645,0,2741,43423,0,434,FALSE,NA,"Comprehensive",TRUE
2024,"Togo",7254507,43747,76737,11044668,73104,80195,FALSE,NA,"Comprehensive",TRUE
2024,"Tonga",34454,0,0,4089,0,0,FALSE,NA,NA,FALSE
2024,"Trinidad & Tobago",3852724,557511,783865,871521,341752,366617,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Tunisia",18586876,10231389,15644730,7967115,5052160,6552127,TRUE,"UK-Tunisia Association Agreement",NA,FALSE
2024,"Turkey",877426702,717398954,763128282,557832302,293274562,309013171,TRUE,"UK-Turkey Trade Agreement",NA,FALSE
2024,"Turkmenistan",10118,0,0,12520,0,0,FALSE,NA,NA,FALSE
2024,"Turks & Caicos Islands",7551,0,0,75,0,0,FALSE,NA,NA,FALSE
2024,"U.S. Virgin Islands",958239,0,0,262229,0,0,FALSE,NA,NA,FALSE
